RedFighter,BlueFighter,RedExpectedValue,BlueExpectedValue,Winner,TitleBout,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,draw_diff,avg_sig_str_pct_diff,avg_TD_pct_diff,win_by_Decision_Majority_diff,win_by_Decision_Split_diff,win_by_Decision_Unanimous_diff,win_by_TKO_Doctor_Stoppage_diff,odds_diff,ev_diff,Stance_diff
Jack Hermansson,Joe Pyfer,205.0,40.0,1,0,-1,4,0,-6,-5,-32,0,0,-2,2.54,-5.08,-8,-1.37,0.5,-0.08,-1,650.0,700.0,700.0,350.0,600.0,105.0,0,-0.030000000000000027,0.10999999999999999,0,0,-4,0,-455.0,-165.0,0
Dan Ige,Andre Fili,54.0541,154.0,1,0,-1,1,-4,1,3,5,0,1,-2,10.16,7.62,1,0.18,-0.1,1.16,-1,150.0,275.0,1100.0,1800.0,250.0,600.0,0,-0.08000000000000002,0.16999999999999998,0,1,1,0,339.0,99.9459,0
Robert Bryczek,Ihor Potieria,43.4783,190.0,0,0,2,0,1,2,3,7,0,2,0,7.62,0.0,-6,3.0,0.0,0.0,0,1100.0,1400.0,1600.0,1200.0,-135.0,180.0,0,0.26,0.0,0,0,0,0,420.0,146.5217,-1
Brad Tavares,Gregory Rodrigues,190.0,43.4783,0,0,0,0,-3,-10,-5,-48,0,2,0,5.08,2.54,-5,2.14,0.4,1.96,0,500.0,215.0,2000.0,650.0,450.0,165.0,0,0.13000000000000006,0.14999999999999997,0,-3,-9,0,-420.0,-146.5217,0
Michael Johnson,Darrius Flowers,64.5161,130.0,1,0,0,0,-3,-12,-14,-68,-1,-5,1,-2.54,-5.08,-8,-1.2,0.0,0.36,0,350.0,800.0,1400.0,1100.0,150.0,180.0,0,0.09999999999999998,-0.12999999999999995,0,-1,-7,0,285.0,65.4839,1
Rodolfo Vieira,Armen Petrosyan,95.2381,86.9565,1,0,0,1,0,0,-1,0,0,1,-4,7.62,-5.08,-1,2.5,-1.6,-3.96,0,550.0,330.0,165.0,2500.0,900.0,225.0,0,-0.020000000000000018,0.030000000000000027,0,1,2,0,-10.0,-8.281599999999997,0
Trevin Giles,Carlos Prates,210.0,38.7597,0,0,-1,1,-2,-6,-5,-28,0,-2,0,2.54,10.16,-1,0.82,-0.3,-1.19,0,500.0,450.0,1200.0,600.0,650.0,-110.0,0,-0.030000000000000027,-0.5,0,-2,-2,0,-468.0,-171.2403,-2
Bolaji Oki,Timmy Cuamba,,,1,0,0,0,0,0,0,2,0,-1,0,-2.54,-5.08,-3,-2.18,0.0,0.16,0,,,,,,,0,-0.02999999999999997,-0.73,0,0,1,0,,,0
Loma Lookboonmee,Bruna Brasil,,,1,0,0,-1,-1,-3,-1,-13,0,1,-1,12.7,10.16,2,-1.16,-0.1,0.03,0,,,,,,,0,0.040000000000000036,0.21999999999999997,0,-1,-2,0,,,0
Devin Clark,Marcin Prachnio,,,0,0,0,0,0,-5,-3,-22,0,0,0,7.62,-2.54,2,2.54,-0.1,-2.02,0,,,,,,,0,0.0,-0.12,0,0,-5,0,,,0
Max Griffin,Jeremiah Wells,,,1,0,0,0,1,-3,-7,-31,0,-1,1,-5.08,-5.08,-1,-1.51,0.5,1.63,0,,,,,,,0,-0.06,0.030000000000000027,-1,0,-2,0,,,-2
Zac Pauga,Bogdan Guskov,,,0,0,0,0,-1,-1,-1,-7,0,0,0,2.54,0.0,-4,-1.33,0.0,-0.38,0,,,,,,,0,-0.14,-0.07,0,0,-1,0,,,0
Fernie Garcia,Hyder Amil,,,0,0,-3,1,0,0,-3,-7,0,-1,0,5.08,7.62,2,4.27,1.3,0.36,0,,,,,,,0,0.22999999999999993,-0.16999999999999998,0,0,1,0,,,-2
Song Yadong,Chris Gutierrez,28.169,280.0,1,0,0,0,0,-1,0,-3,0,-2,-1,2.54,0.0,6,0.23,-0.1,-0.4,-1,320.0,500.0,1200.0,2800.0,350.0,900.0,0,0.15999999999999998,-0.10000000000000003,0,1,1,0,635.0,251.831,0
Anthony Smith,Khalil Rountree Jr.,164.0,50.5051,0,0,0,3,1,-6,-5,-30,0,-1,-5,-7.62,0.0,-2,0.6,-0.5,-0.46,-1,650.0,,550.0,,500.0,,0,-0.09999999999999998,-0.26,0,0,0,0,-362.0,-113.4949,-1
Nasrat Haqparast,Jamie Mullarkey,50.5051,164.0,1,0,0,-1,-1,-2,0,-8,0,1,0,5.08,5.08,1,-1.76,0.1,2.03,0,120.0,350.0,2000.0,1200.0,300.0,500.0,0,0.020000000000000018,0.14,0,1,-4,0,362.0,113.4949,1
Tim Elliott,Sumudaerji,61.7284,136.0,1,0,0,0,1,-5,-9,-40,-1,1,-1,2.54,15.24,-9,1.25,-0.4,-3.44,0,250.0,650.0,200.0,2500.0,1000.0,225.0,0,0.10000000000000003,0.53,0,0,-5,0,298.0,74.2716,0
JunYong Park,Andre Muniz,50.5051,164.0,0,0,2,-4,3,0,0,-3,0,0,1,7.62,12.7,1,-2.56,0.1,2.4,0,275.0,650.0,400.0,300.0,215.0,1200.0,0,0.0,0.0,-1,-1,1,0,362.0,113.4949,-1
Song Kenan,Kevin Jousset,,68.9655,0,0,0,0,-1,-4,-3,-16,0,-3,1,5.08,10.16,-3,3.66,0.8,1.08,0,,275.0,,700.0,,225.0,0,0.08000000000000007,0.33,0,0,-2,0,,,0
HyunSung Park,Shannon Ross,50.5051,500.0,1,0,3,-3,-3,-3,3,-1,-1,-1,-2,-2.54,0.0,6,1.81,-2.6,-1.54,0,275.0,1000.0,400.0,2500.0,215.0,900.0,0,-0.04999999999999999,-0.27,0,0,0,0,698.0,449.49490000000003,-2
Steve Garcia,Melquizael Costa,500.0,12.3457,1,0,0,-1,-1,-3,-1,-5,0,-4,0,-5.08,-10.16,-4,-1.54,0.5,1.23,0,900.0,320.0,1200.0,400.0,350.0,140.0,0,-0.10000000000000003,-0.050000000000000044,0,0,1,0,-1310.0,-487.6543,0
Luana Santos,Stephanie Egger,64.5161,130.0,1,0,1,-1,1,2,3,9,0,0,2,0.0,2.54,12,-2.08,-0.6,0.86,0,200.0,275.0,300.0,500.0,700.0,1000.0,0,-0.04999999999999999,0.019999999999999962,0,0,0,0,285.0,65.4839,0
Tatsuro Taira,Carlos Hernandez,16.129,400.0,1,0,0,-3,-2,-1,1,1,0,0,-2,2.54,-7.62,7,0.55,-1.9,-1.27,0,175.0,750.0,100.0,2000.0,650.0,1600.0,0,-0.19,-0.29999999999999993,0,2,-1,0,1020.0,383.871,0
Rayanne dos Santos,Talita Alencar,61.7284,136.0,0,0,-1,0,0,0,-1,0,0,0,0,-2.54,-10.16,5,-1.87,0.0,1.67,0,200.0,250.0,300.0,500.0,700.0,1400.0,1,-0.14999999999999997,0.010000000000000009,0,0,0,0,298.0,74.2716,0
Beneil Dariush,Arman Tsarukyan,210.0,35.7143,0,0,-1,2,-3,-9,-3,-20,0,0,-5,-7.62,0.0,-7,0.01,-0.9,1.35,-1,550.0,200.0,1200.0,800.0,750.0,130.0,-1,0.0,0.02999999999999997,0,-2,-2,0,-490.0,-174.2857,1
Jalin Turner,King Green,62.5,,1,0,-2,2,3,9,7,51,0,-1,1,-12.7,-15.24,9,0.83,-0.8,0.44,-1,275.0,350.0,350.0,1400.0,250.0,400.0,1,0.050000000000000044,-0.16000000000000003,0,2,7,0,,,1
Rob Font,Deiveson Figueiredo,76.9231,100.0,0,0,0,0,1,0,-3,-7,6,-2,2,-7.62,-7.62,-1,-2.52,1.3,0.79,-1,225.0,400.0,1600.0,450.0,240.0,400.0,1,0.10000000000000003,0.0,0,1,-1,0,230.0,23.076899999999995,0
Sean Brady,Kelvin Gastelum,86.9565,95.2381,1,0,-1,1,0,7,7,44,2,3,0,-2.54,-2.54,1,-0.03,-1.1,-2.19,-1,225.0,275.0,330.0,1600.0,900.0,275.0,0,-0.11000000000000004,-0.22999999999999993,0,3,1,0,10.0,8.281599999999997,-1
Clay Guida,Joaquim Silva,260.0,30.7692,0,0,0,0,-1,-15,-14,-81,-2,1,-5,2.54,-2.54,-7,1.02,0.2,-2.74,0,550.0,240.0,1400.0,300.0,900.0,165.0,0,0.09999999999999998,0.14,0,-2,-9,0,-585.0,-229.2308,-1
Punahele Soriano,Dustin Stoltzfus,27.7778,285.0,0,0,0,0,-2,-2,1,-1,0,-2,0,2.54,7.62,1,-1.38,1.0,0.97,0,300.0,550.0,700.0,900.0,-110.0,1400.0,0,-0.09000000000000002,-0.15000000000000008,0,0,0,0,645.0,257.2222,1
Miesha Tate,Julia Avila,,,1,0,-2,1,-3,-9,-7,-49,-6,0,-3,2.54,7.62,-2,-0.03,-1.0,-1.48,-1,,,,,,,0,-0.020000000000000018,0.020000000000000018,-1,0,-5,0,,,0
Zachary Reese,Cody Brundage,,,0,0,0,0,1,2,5,12,0,1,0,-10.16,-12.7,0,-3.44,-1.6,-1.77,0,,,,,,,0,-0.04999999999999993,-0.050000000000000044,0,0,0,0,,,2
Drakkar Klose,Joe Solecki,,,1,0,0,0,1,-1,-1,-9,0,-1,3,0.0,0.0,-5,-2.39,1.4,0.65,0,,,,,,,0,0.010000000000000009,0.2,1,-1,-3,0,,,0
Rodolfo Bellato,Ihor Potieria,,,1,0,1,-1,0,1,1,1,0,1,0,0.0,-5.08,0,-1.34,-0.5,-1.09,0,,,,,,,0,-0.10999999999999999,-0.25,0,0,0,0,,,-1
Wellington Turman,Jared Gooden,,,0,0,0,0,-1,-2,-1,-6,0,1,-1,0.0,12.7,2,1.85,-0.6,-0.88,0,,,,,,,0,-0.020000000000000018,0.8,0,-1,-1,0,,,0
Veronica Hardy,Jamey-Lyn Horth,,,1,0,0,0,0,-1,-4,-12,0,0,-1,7.62,5.08,5,0.84,-0.3,-0.58,0,,,,,,,0,0.16999999999999998,-0.15999999999999998,0,0,0,0,,,1
Brendan Allen,Paul Craig,21.2766,360.0,1,0,0,-4,-1,-2,4,4,0,2,-1,2.54,2.54,8,-1.53,0.2,-0.06,-1,700.0,1600.0,165.0,650.0,120.0,1000.0,1,-0.07,-0.26999999999999996,0,0,-3,0,830.0,338.7234,0
Michael Morales,Jake Matthews,27.7778,260.0,1,0,0,-3,-1,8,6,34,0,0,5,-2.54,-15.24,5,-2.04,0.6,0.4,0,200.0,550.0,900.0,1100.0,120.0,900.0,0,-0.03999999999999998,0.0,0,1,2,0,620.0,232.2222,0
Chase Hooper,Jordan Leavitt,51.2821,150.0,1,0,0,0,0,0,-1,-7,0,0,1,-10.16,-7.62,4,-2.53,-1.2,0.74,0,165.0,425.0,380.0,650.0,450.0,800.0,0,0.08999999999999997,0.010000000000000009,0,1,-2,0,345.0,98.7179,0
Payton Talbott,Nick Aguirre,11.1111,600.0,1,0,1,-1,-1,-1,1,0,0,0,0,-2.54,10.16,2,-7.65,0.1,1.16,0,140.0,1200.0,1100.0,1200.0,-110.0,1800.0,0,-0.22000000000000003,0.2,0,0,-1,0,1500.0,588.8889,1
Luana Pinheiro,Amanda Ribas,205.0,40.0,0,0,1,-4,0,2,3,14,0,-1,2,2.54,10.16,-1,1.06,0.5,-0.17,-1,500.0,100.0,1000.0,350.0,500.0,1000.0,0,0.0,0.18,0,-1,3,0,-455.0,-165.0,0
Uros Medic,Myktybek Orolbai,44.4444,90.9091,0,0,0,-2,-2,-4,-1,-8,0,-4,0,-7.62,7.62,-5,-2.49,0.6,7.06,0,500.0,330.0,1600.0,400.0,185.0,350.0,0,-0.07999999999999996,-0.06,0,0,0,0,115.0,46.46469999999999,1
Jonathan Pearce,Joanderson Brito,71.4286,110.0,0,0,0,-2,-2,-2,0,-7,0,-1,0,-10.16,2.54,-3,-1.97,-0.2,-2.13,0,300.0,700.0,550.0,450.0,250.0,275.0,0,-0.030000000000000027,0.26,0,0,-1,0,250.0,38.5714,2
Chad Anheliger,Jose Johnson,164.0,50.5051,0,0,0,0,-1,-1,1,-2,0,-1,0,15.24,17.78,-8,-1.38,0.1,-0.11,0,450.0,200.0,1000.0,550.0,500.0,225.0,0,0.11999999999999994,0.3,0,-1,1,0,-362.0,-113.4949,0
Christian Leroy Duncan,Denis Tiuliulin,13.8889,450.0,1,0,1,0,0,0,2,2,0,0,0,-2.54,-5.08,7,-1.1,0.0,0.65,0,330.0,1400.0,450.0,2800.0,-150.0,750.0,0,-0.21000000000000002,0.27999999999999997,0,0,0,0,1170.0,436.1111,2
Mick Parkin,Caio Machado,24.3902,290.0,1,0,0,-1,-1,-1,0,-1,0,0,-1,0.0,-2.54,1,1.16,-0.3,-1.49,0,180.0,650.0,350.0,1600.0,175.0,1000.0,0,0.05999999999999994,-0.41,0,0,0,0,700.0,265.6098,-1
Jeka Saragih,Lucas Alexander,380.0,20.0,1,0,-1,1,-1,-1,0,-2,-1,-2,0,7.62,10.16,0,2.5,-0.6,-2.21,0,750.0,225.0,2200.0,500.0,1100.0,-110.0,0,0.050000000000000044,-0.8,0,0,1,0,-880.0,-360.0,0
Lucie Pudilova,Ailin Perez,160.0,52.0833,0,0,-1,1,-1,-2,-5,-20,0,-1,0,-7.62,-2.54,0,-0.69,-0.6,4.49,0,240.0,110.0,1100.0,700.0,1200.0,550.0,0,0.20999999999999996,0.2,0,0,-1,0,-352.0,-107.91669999999999,-2
Charles Johnson,Rafael Estevam,120.0,66.6667,0,0,-2,1,-1,-1,-3,-11,0,0,0,-2.54,-2.54,-5,-1.89,0.2,2.97,0,200.0,130.0,550.0,800.0,225.0,550.0,0,0.13,-0.010000000000000009,0,-1,0,0,-270.0,-53.333299999999994,2
